PATIENT_LSOA_2011,phenotype,population,actual_cases,expected_cases,case_difference,standardized_difference,significant_under_diagnosis
E01002266,ASTHMA,1686,69,76.34205269538856,-7.34205269538856,-0.178808727309264,False
E01002267,ASTHMA,2061,98,99.43130767269156,-1.4313076726915597,-0.03152782443628894,False
E01002268,ASTHMA,1616,53,72.0318447640821,-19.031844764082095,-0.4734348334641236,False
E01002269,ASTHMA,1926,105,85.60218247799219,19.397817522007813,0.44200250243456557,False
E01002270,ASTHMA,1834,100,88.9760050125067,11.023994987493296,0.2574182546812044,False
E01002271,ASTHMA,1699,66,81.20626378755028,-15.206263787550284,-0.3689145894703153,False
E01002272,ASTHMA,1542,71,69.82460516633091,1.1753948336690883,0.02993240347135482,False
E01002273,ASTHMA,1462,75,69.65553491962957,5.344465080370426,0.13977534005545802,False
E01002274,ASTHMA,1773,87,80.73667106425395,6.2633289357460455,0.14874790325860648,False
E01002275,ASTHMA,1437,80,70.67389804461503,9.32610195538497,0.2460207708333673,False
E01002276,ASTHMA,2462,94,118.50963123354268,-24.509631233542677,-0.49396110411843686,False
E01002277,ASTHMA,1781,83,85.26840429573784,-2.268404295737838,-0.053751241704691005,False
E01002278,ASTHMA,1973,96,91.29218175211852,4.707818247881477,0.10598786534384426,False
E01002279,ASTHMA,1915,82,87.15944945594677,-5.1594494559467705,-0.11790140300050694,False
E01002280,ASTHMA,1984,92,90.9548335752708,1.045166424729203,0.023464678922716625,False
E01002281,ASTHMA,2879,110,128.28545372352903,-18.28545372352903,-0.3407884825141298,False
E01002282,ASTHMA,2140,100,95.06823376377977,4.931766236220227,0.10660942386305287,False
E01002283,ASTHMA,1831,84,85.70764800483296,-1.7076480048329614,-0.03990746881041411,False
E01002284,ASTHMA,2248,113,102.83514082463644,10.16485917536356,0.21438935260044945,False
E01002285,ASTHMA,1914,89,85.63385242188649,3.3661475781135124,0.07694177227362119,False
E01002286,ASTHMA,1651,58,75.89049416365982,-17.890494163659824,-0.4403001161244501,False
E01002287,ASTHMA,1796,66,80.55274666969082,-14.55274666969082,-0.3433932888066352,False
E01002288,ASTHMA,1632,77,73.5745100103594,3.425489989640596,0.08479351241834575,False
E01002289,ASTHMA,1798,112,80.15508734390832,31.84491265609168,0.7510091327707444,False
E01002290,ASTHMA,1553,97,74.31888717451454,22.681112825485457,0.5755441329203923,False
E01002291,ASTHMA,1577,76,75.77416771626419,0.2258322837358122,0.005686829134402461,False
E01002292,ASTHMA,1802,121,84.00649277712927,36.99350722287073,0.8714613164731381,False
E01002293,ASTHMA,3172,134,132.0462546530855,1.953745346914502,0.034689765765452185,False
E01002294,ASTHMA,1737,77,78.87867562766881,-1.8786756276688124,-0.045076676911456705,False
E01002295,ASTHMA,2108,99,94.25054343312205,4.749456566877953,0.10344478878459203,False
