effect_modifier,modifier_value,ethnic_group,odds_ratio,lower_ci,upper_ci,phenotype
imd_rank,0.42105263157894735,White,0.29948744253877463,0.26098849408494396,0.34366544989996195,DIABETES_T2
imd_rank,0.47368421052631576,White,0.28763288836873185,0.24837088997884788,0.33310134886735376,DIABETES_T2
imd_rank,0.5263157894736842,White,0.27624757074957484,0.23636328952036995,0.3228619829242336,DIABETES_T2
imd_rank,0.5789473684210527,White,0.2653129159806372,0.22493620181353818,0.31293736987921367,DIABETES_T2
imd_rank,0.631578947368421,White,0.2548110855604945,0.21406156171278187,0.3033178343883898,DIABETES_T2
imd_rank,0.6842105263157894,White,0.2447249470857129,0.20371266089439766,0.293993998523005,DIABETES_T2
imd_rank,0.7368421052631579,White,0.23503804630150787,0.1938640822603974,0.28495677262706026,DIABETES_T2
imd_rank,0.7894736842105263,White,0.22573458025871546,0.18449163751362932,0.2761973464559555,DIABETES_T2
imd_rank,0.8421052631578947,White,0.21679937153328674,0.17557230775085936,0.2677071805875265,DIABETES_T2
imd_rank,0.894736842105263,White,0.20821784346624658,0.16708418692790467,0.25947799809710004,DIABETES_T2
imd_rank,0.9473684210526315,White,0.19997599638372482,0.15900642805797113,0.25150177648845545,DIABETES_T2
imd_rank,1.0,White,0.19206038475826506,0.15131919201105581,0.2437707398728228,DIABETES_T2
age_band,0_minus_17,Black,0.15366032195484483,0.07299624367154482,0.32346177495802764,DIABETES_T1
age_band,18_minus_24,Black,0.3664545615210533,0.17410264604180123,0.7713205325285252,DIABETES_T1
age_band,25_minus_34,Black,0.3426992341785317,0.17356620935120534,0.6766453305949123,DIABETES_T1
age_band,35_minus_44,Black,0.31924197792757897,0.15792249777009146,0.6453509912152258,DIABETES_T1
age_band,55_minus_64,Black,0.3451058080139157,0.15724081536352402,0.7574243268174087,DIABETES_T1
age_band,65_minus_74,Black,0.37250527468238337,0.14554666697196952,0.9533724306646018,DIABETES_T1
age_band,75_plus_,Black,0.36062245312884506,0.11630135606094104,1.1182032446166967,DIABETES_T1
age_band,0_minus_17,East_Or_Other_Asian,0.1392999418416616,0.04915589790737878,0.3947537248460577,DIABETES_T1
age_band,18_minus_24,East_Or_Other_Asian,0.30717385238550665,0.11136768237151032,0.8472455705290924,DIABETES_T1
age_band,25_minus_34,East_Or_Other_Asian,0.2500882222042982,0.1010802108998346,0.6187573050009219,DIABETES_T1
age_band,35_minus_44,East_Or_Other_Asian,0.25923461993135105,0.10035917971530073,0.6696207398425591,DIABETES_T1
age_band,55_minus_64,East_Or_Other_Asian,0.3081438207099385,0.10255379560411851,0.9258810332896688,DIABETES_T1
age_band,65_minus_74,East_Or_Other_Asian,0.3401078715918642,0.09696496159822507,1.192939824985867,DIABETES_T1
age_band,75_plus_,East_Or_Other_Asian,0.33165601884492274,0.07436137239424935,1.479205013227677,DIABETES_T1
age_band,0_minus_17,South_Asian,0.12225267815764851,0.062094852130726894,0.24069172892549473,DIABETES_T1
age_band,18_minus_24,South_Asian,0.2959244154389408,0.14856799169861656,0.589435575265263,DIABETES_T1
age_band,25_minus_34,South_Asian,0.272286862373963,0.14670246491319078,0.5053775712993569,DIABETES_T1
age_band,35_minus_44,South_Asian,0.25965357550378987,0.13651504728999853,0.4938648201079419,DIABETES_T1
age_band,55_minus_64,South_Asian,0.3094713739925911,0.143188374620236,0.6688568927112273,DIABETES_T1
age_band,65_minus_74,South_Asian,0.3309182875434542,0.1331749187613254,0.8222788048172136,DIABETES_T1
age_band,75_plus_,South_Asian,0.3221235669056018,0.10666090518493888,0.9728362250073961,DIABETES_T1
age_band,0_minus_17,White,0.18095369685389992,0.09878567771349325,0.3314674876256938,DIABETES_T1
age_band,18_minus_24,White,0.4637763245110231,0.24882810746737463,0.8644058798910224,DIABETES_T1
age_band,25_minus_34,White,0.44958867425771615,0.2599811979659891,0.7774792085051225,DIABETES_T1
age_band,35_minus_44,White,0.38703573476991804,0.21890315831825496,0.6843056132205579,DIABETES_T1
age_band,55_minus_64,White,0.4555379721351106,0.23226244379835476,0.8934498434758942,DIABETES_T1
age_band,65_minus_74,White,0.4498904054088586,0.20121363152937086,1.0059029069777656,DIABETES_T1
age_band,75_plus_,White,0.39969246552862436,0.15360699143188433,1.0400182017183255,DIABETES_T1
imd_rank,0.0,Black,0.5446003057366746,0.4349166547798819,0.6819455860079399,DIABETES_T1
imd_rank,0.05263157894736842,Black,0.5173196441957237,0.3986140778806726,0.6713752200967265,DIABETES_T1
imd_rank,0.10526315789473684,Black,0.4914055527544816,0.3653416840637599,0.6609686981017866,DIABETES_T1
imd_rank,0.15789473684210525,Black,0.46678957582089375,0.3348465433639313,0.6507234803921248,DIABETES_T1
imd_rank,0.21052631578947367,Black,0.44340668694868096,0.3068968379288618,0.6406370667018059,DIABETES_T1
imd_rank,0.2631578947368421,Black,0.42119511706114926,0.2812800997869863,0.630706995519784,DIABETES_T1
imd_rank,0.3157894736842105,Black,0.400096191279785,0.25780159570922834,0.62093084348919,DIABETES_T1
imd_rank,0.3684210526315789,Black,0.38005417392659446,0.23628284688662976,0.6113062248159303,DIABETES_T1
imd_rank,0.42105263157894735,Black,0.36101612129074034,0.21656027217077467,0.6018307906864517,DIABETES_T1
imd_rank,0.47368421052631576,Black,0.3429317417705393,0.1984839445631962,0.5925022286945327,DIABETES_T1
imd_rank,0.5263157894736842,Black,0.3257532630213658,0.18191645150085162,0.5833182622769574,DIABETES_T1
imd_rank,0.5789473684210527,Black,0.3094353057585157,0.1667318502737881,0.5742766501579389,DIABETES_T1
imd_rank,0.631578947368421,Black,0.2939347638816619,0.15281471063429777,0.565375185802153,DIABETES_T1
imd_rank,0.6842105263157894,Black,0.2792106906042368,0.14005923731966988,0.55661169687625,DIABETES_T1
imd_rank,0.7368421052631579,Black,0.2652241902869338,0.12836846581813877,0.5479840447187142,DIABETES_T1
imd_rank,0.7894736842105263,Black,0.2519383156895937,0.11765352526440195,0.5394901238179401,DIABETES_T1
imd_rank,0.8421052631578947,Black,0.2393179703700516,0.10783296286139235,0.531127861298398,DIABETES_T1
imd_rank,0.894736842105263,Black,0.22732981597211877,0.0988321246926942,0.5228952164147651,DIABETES_T1
imd_rank,0.9473684210526315,Black,0.2159421841577866,0.09058258821866644,0.5147901800538981,DIABETES_T1
imd_rank,1.0,Black,0.20512499295101058,0.0830216421422237,0.5068107742445235,DIABETES_T1
imd_rank,0.0,East_Or_Other_Asian,0.4786433398759757,0.33912657324053663,0.6755573431431825,DIABETES_T1
imd_rank,0.05263157894736842,East_Or_Other_Asian,0.45157840231510876,0.3065840617697248,0.6651456447551172,DIABETES_T1
imd_rank,0.10526315789473684,East_Or_Other_Asian,0.4260438544706504,0.27716432255090273,0.6548944115953915,DIABETES_T1
imd_rank,0.15789473684210525,East_Or_Other_Asian,0.4019531602965143,0.2505676950447619,0.6448011705718599,DIABETES_T1
imd_rank,0.21052631578947367,East_Or_Other_Asian,0.3792246769363631,0.22652327407151812,0.6348634867077045,DIABETES_T1
imd_rank,0.2631578947368421,East_Or_Other_Asian,0.357781378037684,0.2047861504529285,0.6250789625540012,DIABETES_T1
imd_rank,0.3157894736842105,East_Or_Other_Asian,0.3375505927110984,0.18513491644169405,0.6154452376113392,DIABETES_T1
imd_rank,0.3684210526315789,East_Or_Other_Asian,0.3184637592502448,0.16736941052930907,0.6059599877603544,DIABETES_T1
imd_rank,0.42105263157894735,East_Or_Other_Asian,0.30045619277759683,0.15130867866165368,0.5966209247010408,DIABETES_T1
imd_rank,0.47368421052631576,East_Or_Other_Asian,0.2834668660287727,0.13678913109589047,0.5874257954007005,DIABETES_T1
imd_rank,0.5263157894736842,East_Or_Other_Asian,0.26743820253241796,0.12366287612496829,0.5783723815504049,DIABETES_T1
imd_rank,0.5789473684210527,East_Or_Other_Asian,0.2523158814847546,0.11179621369755659,0.5694584990298301,DIABETES_T1
imd_rank,0.631578947368421,East_Or_Other_Asian,0.23804865365751798,0.10106827358988002,0.5606819973803435,DIABETES_T1
imd_rank,0.6842105263157894,East_Or_Other_Asian,0.22458816771539958,0.09136978425828471,0.5520407592862075,DIABETES_T1
imd_rank,0.7368421052631579,East_Or_Other_Asian,0.21188880635438742,0.08260195983244165,0.5435327000637822,DIABETES_T1
imd_rank,0.7894736842105263,East_Or_Other_Asian,0.19990753170568112,0.0746754939124379,0.535155767158598,DIABETES_T1
imd_rank,0.8421052631578947,East_Or_Other_Asian,0.18860373948125947,0.06750964992087785,0.5269079396501816,DIABETES_T1
imd_rank,0.894736842105263,East_Or_Other_Asian,0.17793912136680087,0.06103143874459706,0.5187872277645114,DIABETES_T1
imd_rank,0.9473684210526315,East_Or_Other_Asian,0.16787753519561152,0.05517487528969643,0.5107916723939885,DIABETES_T1
imd_rank,1.0,East_Or_Other_Asian,0.1583848824635819,0.049880306377392374,0.5029193446248055,DIABETES_T1
imd_rank,0.0,South_Asian,0.46514134682504577,0.37770113233699,0.5728245271268645,DIABETES_T1
imd_rank,0.05263157894736842,South_Asian,0.4413601776785328,0.34720022645053755,0.5610561042309034,DIABETES_T1
imd_rank,0.10526315789473684,South_Asian,0.4187948626155911,0.3191623930312977,0.5495294583031054,DIABETES_T1
imd_rank,0.15789473684210525,South_Asian,0.3973832389585394,0.293388728938448,0.5382396221441396,DIABETES_T1
imd_rank,0.21052631578947367,South_Asian,0.37706632220588454,0.2696963932704855,0.5271817306035567,DIABETES_T1
imd_rank,0.2631578947368421,South_Asian,0.35778814354247607,0.24791731027393413,0.5163510184832406,DIABETES_T1
imd_rank,0.3157894736842105,South_Asian,0.3394955956572397,0.22789697699746136,0.5057428184839322,DIABETES_T1
imd_rank,0.3684210526315789,South_Asian,0.3221382864437508,0.2094933672327844,0.495352559193942,DIABETES_T1
imd_rank,0.42105263157894735,South_Asian,0.30566840018062275,0.19257592396681564,0.48517576311918204,DIABETES_T1
imd_rank,0.47368421052631576,South_Asian,0.29004056580929233,0.1770246331974043,0.4752080447536718,DIABETES_T1
imd_rank,0.5263157894736842,South_Asian,0.27521173194633436,0.16272917254223115,0.46544510868968325,DIABETES_T1
imd_rank,0.5789473684210527,South_Asian,0.26114104828599255,0.149588128601006,0.45588274776671317,DIABETES_T1
imd_rank,0.631578947368421,South_Asian,0.24778975306621334,0.13750827751885722,0.4465168412584829,DIABETES_T1
imd_rank,0.6842105263157894,South_Asian,0.23512106628817733,0.12640392364715958,0.4373433530971864,DIABETES_T1
imd_rank,0.7368421052631579,South_Asian,0.22310008839516984,0.11619629161019639,0.4283583301342199,DIABETES_T1
imd_rank,0.7894736842105263,South_Asian,0.21169370413167163,0.10681296746491611,0.41955790043664387,DIABETES_T1
imd_rank,0.8421052631578947,South_Asian,0.2008704913178241,0.0981873849893164,0.4109382716186437,DIABETES_T1
imd_rank,0.894736842105263,South_Asian,0.1906006342879585,0.09025835345513501,0.4024957292072703,DIABETES_T1
imd_rank,0.9473684210526315,South_Asian,0.18085584175473424,0.08296962353482062,0.39422663504175404,DIABETES_T1
imd_rank,1.0,South_Asian,0.17160926887261618,0.07626948826328517,0.3861274257057062,DIABETES_T1
imd_rank,0.0,White,0.6412796689632151,0.5381864589917926,0.7641210717117692,DIABETES_T1
